postal code,place name,admin code1,latitude,longitude
90001,Los Angeles,CA,33.9731,-118.2479
90057,Los Angeles,CA,34.0622,-118.2763
90087,Los Angeles,CA,34.0522,-118.2437
90025,Los Angeles,CA,34.0447,-118.4487
90032,Los Angeles,CA,34.0818,-118.1753
90035,Los Angeles,CA,34.0531,-118.3806
90076,Los Angeles,CA,34.0522,-118.2437
90055,Los Angeles,CA,34.0522,-118.2437
90013,Los Angeles,CA,34.0448,-118.2434
90034,Los Angeles,CA,34.029,-118.4005
90036,Los Angeles,CA,34.0699,-118.3492
90058,Los Angeles,CA,33.9994,-118.2133
90060,Los Angeles,CA,34.0522,-118.2437
90086,Los Angeles,CA,34.0522,-118.2437
90018,Los Angeles,CA,34.029,-118.3152
90056,Los Angeles,CA,33.9853,-118.3707
90064,Los Angeles,CA,34.0353,-118.4259
90071,Los Angeles,CA,34.0529,-118.2549
90044,Los Angeles,CA,33.9551,-118.2901
90053,Los Angeles,CA,34.0522,-118.2437
90028,Los Angeles,CA,34.1005,-118.3254
90042,Los Angeles,CA,34.1145,-118.1929
90067,Los Angeles,CA,34.0551,-118.4095
90017,Los Angeles,CA,34.0559,-118.2666
90015,Los Angeles,CA,34.0434,-118.2716
90024,Los Angeles,CA,34.0637,-118.4408
90026,Los Angeles,CA,34.0766,-118.2646
90072,Los Angeles,CA,34.0522,-118.2437
90093,Los Angeles,CA,34.0522,-118.2437
90007,Los Angeles,CA,34.0294,-118.2871
90014,Los Angeles,CA,34.0443,-118.2509
90019,Los Angeles,CA,34.0482,-118.3343
90047,Los Angeles,CA,33.9569,-118.3073
90070,Los Angeles,CA,34.0522,-118.2437
90079,Los Angeles,CA,33.7866,-118.2987
90006,Los Angeles,CA,34.0493,-118.2917
90027,Los Angeles,CA,34.104,-118.2925
90030,Los Angeles,CA,34.0522,-118.2437
90077,Los Angeles,CA,34.1112,-118.4502
90084,Los Angeles,CA,34.0522,-118.2437
90134,Los Angeles,CA,34.0522,-118.2437
90002,Los Angeles,CA,33.9497,-118.2462
90011,Los Angeles,CA,34.0079,-118.2582
90040,Los Angeles,CA,33.9909,-118.1532
90048,Los Angeles,CA,34.0737,-118.372
90051,Los Angeles,CA,34.0522,-118.2437
90061,Los Angeles,CA,33.9245,-118.2716
90016,Los Angeles,CA,34.0298,-118.3528
90020,Los Angeles,CA,34.0665,-118.3022
90041,Los Angeles,CA,34.1339,-118.2082
90088,Los Angeles,CA,34.0522,-118.2437
90004,Los Angeles,CA,34.0762,-118.3029
90050,Los Angeles,CA,34.0522,-118.2437
90062,Los Angeles,CA,34.0032,-118.3073
90082,Los Angeles,CA,34.0522,-118.2437
90095,Los Angeles,CA,33.7866,-118.2987
90038,Los Angeles,CA,34.0898,-118.3215
90091,Los Angeles,CA,34.0522,-118.2437
90012,Los Angeles,CA,34.0614,-118.2385
90033,Los Angeles,CA,34.0487,-118.2084
90054,Los Angeles,CA,34.0522,-118.2437
90063,Los Angeles,CA,34.0451,-118.1859
90010,Los Angeles,CA,34.0606,-118.3027
90021,Los Angeles,CA,34.0333,-118.2447
90037,Los Angeles,CA,34.003,-118.2863
90080,Los Angeles,CA,34.0522,-118.2437
90099,Los Angeles,CA,34.0522,-118.2437
90003,Los Angeles,CA,33.9653,-118.2727
90075,Los Angeles,CA,34.0522,-118.2437
90083,Los Angeles,CA,34.0522,-118.2437
90189,Los Angeles,CA,34.0515,-118.2559
90023,Los Angeles,CA,34.0245,-118.1975
90066,Los Angeles,CA,34.003,-118.4298
90074,Los Angeles,CA,34.0522,-118.2437
90039,Los Angeles,CA,34.1121,-118.2594
90081,Los Angeles,CA,34.0522,-118.2437
90009,Los Angeles,CA,34.0522,-118.2437
90096,Los Angeles,CA,34.0522,-118.2437
90005,Los Angeles,CA,34.0585,-118.3012
90031,Los Angeles,CA,34.0783,-118.2113
90065,Los Angeles,CA,34.1073,-118.2266
90022,Los Angeles,CA,34.0245,-118.1561
90046,Los Angeles,CA,34.1074,-118.3652
90008,Los Angeles,CA,34.0116,-118.3411
90029,Los Angeles,CA,34.09,-118.2944
90052,Los Angeles,CA,34.0522,-118.2437
90059,Los Angeles,CA,33.9293,-118.2463
90068,Los Angeles,CA,34.1156,-118.3305
90078,Los Angeles,CA,34.0522,-118.2437
90089,Los Angeles,CA,33.7866,-118.2987
90073,Los Angeles,CA,33.7866,-118.2987
90043,Los Angeles,CA,33.9871,-118.3321
90045,Los Angeles,CA,33.9631,-118.3941
90049,Los Angeles,CA,34.066,-118.474
