,Unnamed: 0,Name,Min Price,Max Price,Zip Code
0,0,sageLA - Brand New,2395,4670.0,90004
1,1,Arya,4050,4200.0,90034
2,2,The Amara,3145,3330.0,90025
3,3,888 at Grand Hope Park,2435,4350.0,90017
5,5,TENTEN WILSHIRE,2750,4095.0,90017
6,6,VOX,3190,4670.0,90016
7,7,The BORA 3170,2250,3152.0,90006
8,8,Beaudry,2925,7994.0,90017
9,9,Hallasan,3523,4358.0,90005
11,11,951 S. Oxford,1598,1698.0,90006
12,12,Park Wilshire,1885,2370.0,90057
13,13,Violet on Virgil,2175,2518.0,90004
14,14,Broadway Palace,2057,4044.0,90015
15,15,Linea,3000,4010.0,90064
16,16,The Landmark Los Angeles,5080,7990.0,90025
17,17,Circa LA,2510,4236.0,90015
18,18,Arrive Wakaba,2474,3324.0,90012
20,20,Archer,2455,2594.0,90028
21,21,Lumina Hollywood,2850,3546.0,90028
22,22,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
23,23,Park Fifth,2658,4365.0,90013
24,24,TENTEN Downtown,2400,3874.0,90017
25,25,Josephine DTLA,2433,3520.0,90017
26,26,Nari Koreatown,2160,3520.0,90010
27,27,The Chadwick,1672,3468.0,90004
28,28,Palazzo East Apartments,3110,4182.0,90036
29,29,Madrid,2180,2326.0,90045
30,30,THEA at Metropolis,2738,4355.0,90017
31,31,AVA Toluca Hills,2435,2710.0,90068
32,32,Vision on Wilshire,4503,5073.0,90048
33,33,The Q Playa,2681,4811.0,90045
34,34,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
35,35,ZEN Hollywood,3750,3995.0,90028
36,36,&Pico,3516,4863.0,90064
37,37,One Museum Square,4040,5750.0,90036
38,38,The Gemma,2585,2750.0,90010
39,39,Ferrante,2139,4902.0,90012
40,40,sageLA - Brand New,2395,4670.0,90004
41,41,Arya,4050,4200.0,90034
42,42,The Amara,3145,3330.0,90025
43,43,888 at Grand Hope Park,2435,4350.0,90017
45,45,TENTEN WILSHIRE,2750,4095.0,90017
46,46,VOX,3190,4670.0,90016
