,Name,Price,Address
0,sageLA - Brand New,"$2,395 - $4,670","200 N Vermont Ave, Los Angeles, CA 90004"
1,Arya,"$4,050 - $4,200","10700 Tabor St, Los Angeles, CA 90034"
2,The Amara,"$3,145 - $3,330","11600 Santa Monica Blvd, Los Angeles, CA 90025"
3,888 at Grand Hope Park,"$2,435 - $4,350","888 S Hope St, Los Angeles, CA 90017"
4,The Residences at Lorenzo,Call for Rent,"325 W Adams Blvd, Los Angeles, CA 90007"
5,TENTEN WILSHIRE,"$2,750 - $4,095","1010 Wilshire Blvd, Los Angeles, CA 90017"
6,VOX,"$3,190 - $4,670","3333 S La Cienega Blvd, Los Angeles, CA 90016"
7,The BORA 3170,"$2,250 - $3,152","3170 W Olympic Blvd, Los Angeles, CA 90006"
8,Beaudry,"$2,925 - $7,994","960 W 7th St, Los Angeles, CA 90017"
9,Hallasan,"$3,523 - $4,358","696 S New Hampshire Ave, Los Angeles, CA 90005"
10,1223 Federal Ave,"$2,398","1223 Federal Ave, Los Angeles, CA 90025"
11,951 S. Oxford,"$1,598 - $1,698","951 S Oxford Ave, Los Angeles, CA 90006"
12,Park Wilshire,"$1,885 - $2,370","2424 Wilshire Blvd, Los Angeles, CA 90057"
13,Violet on Virgil,"$2,175 - $2,518","160 S Virgil Ave, Los Angeles, CA 90004"
14,Broadway Palace,"$2,057 - $4,044","1026 S Broadway, Los Angeles, CA 90015"
15,Linea,"$3,000 - $4,010","2435 S Sepulveda Blvd, Los Angeles, CA 90064"
16,The Landmark Los Angeles,"$5,080 - $7,990","11750 Wilshire Blvd, Los Angeles, CA 90025"
17,Circa LA,"$2,510 - $4,236","1200 S Figueroa St, Los Angeles, CA 90015"
18,Arrive Wakaba,"$2,474 - $3,324","232 E 2nd St, Los Angeles, CA 90012"
19,Ten Thousand,Call for Rent,"10000 Santa Monica Blvd, Los Angeles, CA 90067"
20,Archer,"$2,455 - $2,594","1718 N Las Palmas Ave, Los Angeles, CA 90028"
21,Lumina Hollywood,"$2,850 - $3,546","1522 Gordon St, Los Angeles, CA 90028"
22,URBANLUX FLEUR PREMIUM,"$2,350 - $2,950","1530 N Poinsettia Pl, Los Angeles, CA 90046"
23,Park Fifth,"$2,658 - $4,365","427 W 5th St, Los Angeles, CA 90013"
24,TENTEN Downtown,"$2,400 - $3,874","1027 Wilshire Blvd, Los Angeles, CA 90017"
25,Josephine DTLA,"$2,433 - $3,520","801 S Hope St, Los Angeles, CA 90017"
26,Nari Koreatown,"$2,160 - $3,520","3150 Wilshire Blvd, Los Angeles, CA 90010"
27,The Chadwick,"$1,672 - $3,468","209 S Westmoreland Ave, Los Angeles, CA 90004"
28,Palazzo East Apartments,"$3,110 - $4,182","348 S Hauser Blvd, Los Angeles, CA 90036"
29,Madrid,"$2,180 - $2,326","8655 Belford Ave, Los Angeles, CA 90045"
30,THEA at Metropolis,"$2,738 - $4,355","1000 W 8th St, Los Angeles, CA 90017"
31,AVA Toluca Hills,"$2,435 - $2,710","3600 Barham Blvd, Los Angeles, CA 90068"
32,Vision on Wilshire,"$4,503 - $5,073","6245 Wilshire Blvd, Los Angeles, CA 90048"
33,The Q Playa,"$2,681 - $4,811","5901-5921 Center Dr, Los Angeles, CA 90045"
34,Sentral DTLA at 732 S. Spring,"$2,425 - $4,150","732 S Spring St, Los Angeles, CA 90014"
35,ZEN Hollywood,"$3,750 - $3,995","1825 N Las Palmas Ave, Los Angeles, CA 90028"
36,&Pico,"$3,516 - $4,863","11916 W Pico Blvd, Los Angeles, CA 90064"
37,One Museum Square,"$4,040 - $5,750","640 S Curson Ave, Los Angeles, CA 90036"
38,The Gemma,"$2,585 - $2,750","3540 Wilshire Blvd, Los Angeles, CA 90010"
39,Ferrante,"$2,139 - $4,902","300 N Beaudry Ave, Los Angeles, CA 90012"
40,sageLA - Brand New,"$2,395 - $4,670","200 N Vermont Ave, Los Angeles, CA 90004"
41,Arya,"$4,050 - $4,200","10700 Tabor St, Los Angeles, CA 90034"
42,The Amara,"$3,145 - $3,330","11600 Santa Monica Blvd, Los Angeles, CA 90025"
43,888 at Grand Hope Park,"$2,435 - $4,350","888 S Hope St, Los Angeles, CA 90017"
44,The Residences at Lorenzo,Call for Rent,"325 W Adams Blvd, Los Angeles, CA 90007"
45,TENTEN WILSHIRE,"$2,750 - $4,095","1010 Wilshire Blvd, Los Angeles, CA 90017"
46,VOX,"$3,190 - $4,670","3333 S La Cienega Blvd, Los Angeles, CA 90016"
47,The BORA 3170,"$2,250 - $3,152","3170 W Olympic Blvd, Los Angeles, CA 90006"
48,Beaudry,"$2,925 - $7,994","960 W 7th St, Los Angeles, CA 90017"
49,Hallasan,"$3,523 - $4,358","696 S New Hampshire Ave, Los Angeles, CA 90005"
50,1223 Federal Ave,"$2,398","1223 Federal Ave, Los Angeles, CA 90025"
51,951 S. Oxford,"$1,598 - $1,698","951 S Oxford Ave, Los Angeles, CA 90006"
52,Park Wilshire,"$1,885 - $2,370","2424 Wilshire Blvd, Los Angeles, CA 90057"
53,Violet on Virgil,"$2,175 - $2,518","160 S Virgil Ave, Los Angeles, CA 90004"
54,Broadway Palace,"$2,057 - $4,044","1026 S Broadway, Los Angeles, CA 90015"
55,Linea,"$3,000 - $4,010","2435 S Sepulveda Blvd, Los Angeles, CA 90064"
56,The Landmark Los Angeles,"$5,080 - $7,990","11750 Wilshire Blvd, Los Angeles, CA 90025"
57,Circa LA,"$2,510 - $4,236","1200 S Figueroa St, Los Angeles, CA 90015"
58,Arrive Wakaba,"$2,474 - $3,324","232 E 2nd St, Los Angeles, CA 90012"
59,Ten Thousand,Call for Rent,"10000 Santa Monica Blvd, Los Angeles, CA 90067"
60,Archer,"$2,455 - $2,594","1718 N Las Palmas Ave, Los Angeles, CA 90028"
61,Lumina Hollywood,"$2,850 - $3,546","1522 Gordon St, Los Angeles, CA 90028"
